Title,Author,ID,Date_updated,Rating,Pairing,Warning,Complete,Language,Word_count,Num_chapters,Num_comments,Num_kudos,Num_bookmarks,Num_hits
The Next Great Adventure,EmLights,24039529,17 Oct 2020,Teen And Up Audiences,"F/M, Gen, M/M",Choose Not To Use Archive Warnings,Work in Progress,English,"53,475",15,123,952,341,22694
A Muggy Morning in Manchester,femme_de_lettres (orphan_account),24039535,06 May 2020,Not Rated,F/M,No Archive Warnings Apply,Complete Work,English,"3,448",1,3,94,7,1208
One carriage over,Amber_candlelight,24039571,10 May 2020,Mature,"F/F, F/M, M/M",Choose Not To Use Archive Warnings,Work in Progress,English,"9,507",2,2,26,3,279
Slipping Through My Fingers,minniethecatt,24039667,06 May 2020,General Audiences,Multi,No Archive Warnings Apply,Complete Work,English,928,1,0,25,2,329
Who to choose?,Leahnae,24039682,06 May 2020,Not Rated,Multi,Choose Not To Use Archive Warnings,Complete Work,English,674,1,0,6,0,230
"Bonne année, Severus",Assommoir,24039697,06 May 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,Français,"13,017",3,0,15,1,236
Vettä sakeampaa,Beelsebutt,24039733,19 Mar 2009,General Audiences,"Gen, M/M",No Archive Warnings Apply,Complete Work,Suomi,0,1,0,0,0,11
Suklaasilmät,Beelsebutt,24039793,13 Jun 2009,General Audiences,F/F,No Archive Warnings Apply,Complete Work,Suomi,0,1,0,1,0,33
"Bienvenue à la maison, Hermione",Assommoir,24039808,06 May 2020,Mature,F/M,No Archive Warnings Apply,Complete Work,Français,"5,891",1,15,18,1,285
Ask A Stupid Question,ChocolateTeapot (brilliantdelusion),24039922,06 May 2020,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,102,1,2,6,0,144
Until We Meet Again,orphan_account,24040132,06 May 2020,Not Rated,No category,"Choose Not To Use Archive Warnings, Major Character Death",Complete Work,English,809,1,4,101,7,983
Suite Nothings,femme_de_lettres,24040195,06 May 2020,Not Rated,F/M,No Archive Warnings Apply,Complete Work,English,"14,771",5,11,127,25,2456
Just You Wait,orphan_account,24040234,06 May 2020,Not Rated,M/M,No Archive Warnings Apply,Complete Work,English,"1,104",1,3,170,8,1318
365 days of you,Assommoir,24040255,30 Apr 2021,Mature,M/M,No Archive Warnings Apply,Complete Work,Français,"29,332",14,18,34,3,621
Bond Bright,Caedes12,24040318,14 May 2020,Explicit,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"36,202",7,109,1553,344,20653
The Walk Before the Run,karasunova,24040375,06 May 2020,General Audiences,F/F,No Archive Warnings Apply,Complete Work,English,"1,987",1,7,147,16,1203
The design of flaws,julestales,24040489,06 May 2020,Explicit,F/M,No Archive Warnings Apply,Complete Work,English,"5,813",1,5,43,10,1969
Not my Type,AlindaKB,24040576,06 May 2020,General Audiences,"F/M, M/M",No Archive Warnings Apply,Complete Work,English,"1,177",1,0,203,10,1717
"Lockhart Exposed: A Peek Under the Gaudy, Sparkly Veil of the Man Who Assaulted the Boy-Who-Lived",Chaos_Greymistchild,24040723,06 May 2020,Teen And Up Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"1,099",1,9,84,10,342
The Healed and The Damaged and The Everything In Between of Hogwarts,minerva__mcgee,24040783,06 May 2020,Mature,No category,"Graphic Depictions Of Violence, Major Character Death",Work in Progress,English,"1,531",1,1,20,0,452
The Bequest,ANGSWIN,24040924,06 May 2020,Teen And Up Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"2,006",1,18,136,21,857
哈德——勿失，勿忘,Nora1014,24041053,24 May 2020,Explicit,M/M,"Rape/Non-Con, Underage, Graphic Depictions Of Violence",Work in Progress,中文-普通话 國語,"19,828",4,1,56,6,5324
Absence and Fondness,nagemeikenu,24041167,06 May 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,413,1,4,50,0,671
Life-Long,orphan_account,24041293,06 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,649,1,10,402,24,3148
Stargate at the DOM,PredictableChaos,24041326,06 May 2020,Teen And Up Audiences,No category,Choose Not To Use Archive Warnings,Work in Progress,English,"10,091",3,0,12,7,277
Complex Superiority,Janieohio,24041410,06 May 2020,Teen And Up Audiences,"F/M, Gen, M/M",No Archive Warnings Apply,Complete Work,English,"3,275",1,6,44,3,1091
Solangelo go to Hogwarts,orphan_account,24041446,21 May 2020,Teen And Up Audiences,"M/M, F/M",Choose Not To Use Archive Warnings,Complete Work,English,"36,082",18,217,971,92,19195
Promise me,WeeTree,24041620,06 May 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,396",1,7,52,1,911
We Who See Thestrals,bygosscarmine,24041641,12 May 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"10,095",6,13,56,11,1026
June 6th,TheMonaLisa,24041656,06 May 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,159",1,6,39,0,916
Mine Is The Moon (And The Stars Agree),The_Hunter_Nightingale,24041719,13 Feb 2021,Teen And Up Audiences,"F/F, F/M","Graphic Depictions Of Violence, Major Character Death",Work in Progress,English,"32,578",11,34,188,66,5995
A Sky Full of Stars,deckersqueen,24041863,06 May 2020,Teen And Up Audiences,F/F,"Graphic Depictions Of Violence, Major Character Death",Complete Work,English,676,1,1,15,0,140
Kurttuviikunoita kakkoskukkarossa,Beelsebutt,24042247,06 May 2020,General Audiences,F/F,No Archive Warnings Apply,Complete Work,Suomi,291,1,0,1,1,63
In The Small Hours,Ladderofyears,24042481,19 Jun 2020,Explicit,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"4,264",1,14,621,76,8411
Long-Lost Brothers: The Prisoner of Azkaban,booksforlife406,24042721,07 Mar 2021,General Audiences,Gen,Choose Not To Use Archive Warnings,Work in Progress,English,"24,922",6,61,366,74,8214
Mushroom Punches I,CinnamonQuartz,24042766,06 May 2020,Mature,F/M,No Archive Warnings Apply,Complete Work,English,"15,482",1,6,72,10,900
Engagement/Give & Take,Antosha,24042931,06 May 2020,Explicit,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"7,489",2,0,44,13,2760
Mushroom Punches II: Revenge of the Portabella,CinnamonQuartz,24043183,06 May 2020,Mature,F/M,No Archive Warnings Apply,Complete Work,English,"12,409",1,5,60,5,674
Ratsastustunti,Beelsebutt,24043195,12 Apr 2010,Explicit,F/M,No Archive Warnings Apply,Complete Work,Suomi,532,1,0,0,1,518
An Inconvenient Attachment,deep_fable,24043333,13 Jun 2020,Explicit,M/M,Choose Not To Use Archive Warnings,Work in Progress,English,"20,740",7,104,1637,461,28688
Green Eyes,Analif,24043336,11 Jun 2020,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Work in Progress,Español,"70,180",14,2,13,3,451
[Art] Flurries,Pinkelephant42,24043438,01 Sep 2020,General Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,0,1,21,60,2,488
The Magic of Music,riveroflava,24043558,26 Jan 2021,Not Rated,M/M,No Archive Warnings Apply,Work in Progress,English,"24,088",13,111,342,46,6740
"My My, What A Conundrum",maybee53,24043651,08 May 2020,Not Rated,M/M,Choose Not To Use Archive Warnings,Work in Progress,English,"1,460",2,1,24,4,274
Unity & Perseverance: Character Profiles,chloemacd,24043678,06 May 2020,Teen And Up Audiences,"F/F, F/M, M/M",Major Character Death,Complete Work,English,329,2,1,16,0,1017
Burning desire,Leahnae,24043750,06 May 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,674,1,0,15,0,460
A Graveyard Reunion,ElliahRose,24043756,25 Nov 2020,Not Rated,Gen,No Archive Warnings Apply,Work in Progress,English,"11,702",4,108,1709,297,35351
Breeding Ground: Fiery,megamatt09,24043813,07 May 2020,Explicit,"F/M, Multi",Choose Not To Use Archive Warnings,Complete Work,English,"3,100",1,0,10,16,4728
Raindrops,Ladibard_Wordsmith28,24043867,06 May 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,964",1,3,66,4,883
The Legacy that Love brings: A Wolfstar Raise Story,sparklehallows,24044293,21 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Work in Progress,English,"2,881",3,5,50,4,1239
Mushroom Punches III: Truffle is my Middle Name,CinnamonQuartz,24044314,06 May 2020,Explicit,F/M,No Archive Warnings Apply,Complete Work,English,"17,412",1,6,55,5,937
"Banter, Barns and Brunches",jolly_love,24044470,06 May 2020,General Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,001",1,36,561,53,3528
Sunny Days,Straight_Arrow,24044629,26 May 2020,General Audiences,No category,Choose Not To Use Archive Warnings,Complete Work,English,"1,570",1,0,0,0,5
The First Date - 5 Drabbles,CL_Avery,24044644,06 May 2020,Teen And Up Audiences,Multi,No Archive Warnings Apply,Complete Work,English,800,1,0,27,1,446
Professor Lily Potter,Omegarose,24044758,06 May 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"1,304",1,12,123,27,1241
Five Times Theseus Wished Newt was Normal + The One Time he Didn't,Maren_Emilie,24044941,06 May 2020,Teen And Up Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"3,480",1,6,375,54,3781
A Day In A Field Of Flowers,Lisa_Tick,24044950,06 May 2020,General Audiences,No category,Choose Not To Use Archive Warnings,Complete Work,English,"3,913",1,7,12,3,93
Games of War,Potter_Moxie_Phan,24045025,10 May 2020,Not Rated,"F/M, M/M",Choose Not To Use Archive Warnings,Work in Progress,English,"3,853",4,4,32,9,950
The 4th Marauder,OnlyForward,24045406,06 May 2020,General Audiences,Other,No Archive Warnings Apply,Work in Progress,English,"5,480",5,5,24,5,393
A Brief Re-emergence from the Shadows,RileyWilliamsJr,24045451,06 May 2020,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"5,655",1,130,2130,320,15257
Thinking about you,preciousjaina,24045760,06 May 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,937,1,3,33,0,942
Hiring Help from the East,Caralinguiel (AC9123),24045808,12 Dec 2020,Teen And Up Audiences,Gen,No Archive Warnings Apply,Work in Progress,English,"1,164",2,12,43,5,512
a pleasant surprise (is a gift of its own),jessequicksters,24045955,06 May 2020,General Audiences,Gen,No Archive Warnings Apply,Complete Work,English,498,1,0,36,2,591
Assault,flaggermousse,24046072,06 May 2020,Explicit,M/M,"Graphic Depictions Of Violence, Rape/Non-Con",Complete Work,English,"2,870",1,14,313,15,6771
You are a witch,Shaihuludus,24046087,30 May 2020,Not Rated,F/M,Choose Not To Use Archive Warnings,Work in Progress,English,"5,058",5,9,64,19,2466
The Perils of Eavesdropping,Squibstress,24046306,06 May 2020,Teen And Up Audiences,"F/M, Gen",No Archive Warnings Apply,Complete Work,English,"2,019",1,14,51,2,493
anything,poppystardew,24046399,10 May 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,996,1,0,17,1,497
The Righteous Storm,TemporalWarlock,24046477,06 May 2020,Mature,No category,"Graphic Depictions Of Violence, No Archive Warnings Apply",Complete Work,English,"4,438",1,25,516,109,3100
Mysterious Ways,GreeneySilvery,24046648,13 Dec 2021,Teen And Up Audiences,"M/M, Multi",Choose Not To Use Archive Warnings,Complete Work,English,"120,772",56,438,419,93,19605
Just Stay,DiscoveryWriter,24046693,06 May 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"1,529",1,6,308,23,3969
Hues,womeninthesequel,24046768,06 May 2020,General Audiences,F/M,No Archive Warnings Apply,Complete Work,English,"4,150",1,29,117,10,1142
The Little Things,TwistedTurtle,24046774,06 May 2020,Teen And Up Audiences,F/M,No Archive Warnings Apply,Complete Work,English,470,1,0,22,0,302
Never coming back,Zenico,24047185,25 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Work in Progress,English,"12,931",2,139,1011,228,12341
Her Own Way,not_MY_culture,24047593,07 May 2020,Explicit,F/M,Graphic Depictions Of Violence,Complete Work,English,"2,173",1,8,139,26,3797
The Eccentric Education of the Knight Bus,PredictableChaos,24047644,07 May 2020,Teen And Up Audiences,No category,Choose Not To Use Archive Warnings,Complete Work,English,"11,566",4,0,9,1,115
To See You in the Mirror,Blood_Stained_Fingers,24047743,07 Jun 2020,Teen And Up Audiences,"F/M, M/M",Choose Not To Use Archive Warnings,Complete Work,English,"15,976",2,60,566,143,6398
Parallax,nevillenobottom,24047959,27 May 2020,Explicit,"F/F, F/M, M/M",No Archive Warnings Apply,Complete Work,English,"107,281",11,197,1176,332,23721
Ghosting,Cold_Blooded_Witch,24048025,27 Mar 2021,Teen And Up Audiences,M/M,Major Character Death,Work in Progress,Español,"17,762",16,2,51,5,1971
Hesitant,Manwathiel_Caladwen,24048625,07 May 2020,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Complete Work,English,"1,861",1,5,269,8,2416
Trowa's Magical Family,SchoolBoredom,24048754,05 Nov 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"10,152",7,7,107,35,3605
Ignorance Is,local_doom_void,24048934,07 May 2020,Teen And Up Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"2,835",1,7,237,14,2431
Eileen Prince and The Dark Forest,facethemuses,24049270,01 Jul 2021,Teen And Up Audiences,Other,Choose Not To Use Archive Warnings,Work in Progress,English,"6,930",4,21,35,2,252
[podfic] soulmates,duckgirlie,24049306,06 May 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,2,1,0,17,1,780
Marauders Era Adventures,acontradictorymess,24049495,25 Aug 2020,Teen And Up Audiences,"F/F, M/M",No Archive Warnings Apply,Complete Work,English,"25,706",12,34,105,8,1798
Orgullo de Serpiente 2: Ojos grises,Isaya_Strife,24049507,07 May 2020,Teen And Up Audiences,F/M,Choose Not To Use Archive Warnings,Complete Work,Español,"16,466",6,0,1,0,190
Bad Moon Rising,aconites,24049699,17 Mar 2021,Mature,"F/M, M/M",Graphic Depictions Of Violence,Work in Progress,English,"32,427",8,23,77,18,1264
Iconography,IsaiahVirus,24049909,07 May 2020,General Audiences,M/M,No Archive Warnings Apply,Complete Work,English,353,1,0,52,2,646
Trouble Follows,Dolorous_nq,24050452,21 May 2020,Teen And Up Audiences,Gen,No Archive Warnings Apply,Complete Work,English,"8,035",7,48,516,52,7120
Street Education,stridermagic,24050539,07 May 2020,Mature,"Gen, M/M",No Archive Warnings Apply,Complete Work,English,"3,521",1,6,406,40,3750
Love Makes You Whole (or something like that),judgeygabriel,24050656,27 Jan 2021,Teen And Up Audiences,M/M,No Archive Warnings Apply,Work in Progress,English,"10,700",6,13,41,6,984
Once Was Enough,Potter_Moxie_Phan,24050668,10 May 2020,Not Rated,"Gen, Multi",Choose Not To Use Archive Warnings,Work in Progress,English,"5,059",4,16,139,35,3307
Birthday Wishes,IzzyMRDB (orphan_account),24050755,07 May 2020,General Audiences,F/F,No Archive Warnings Apply,Complete Work,English,"1,479",1,11,831,41,7299
Love is a Choice I Make with You,Inofaro,24051031,11 May 2020,Teen And Up Audiences,M/M,No Archive Warnings Apply,Complete Work,English,"16,523",6,7,78,9,934
"Precious, Brief",chipperdyke,24051064,07 May 2020,Mature,F/F,Underage,Complete Work,English,"4,256",1,14,125,8,2180
We Were Never A Family,RUNNFROMTHEAK,24051184,07 May 2020,Mature,M/M,"Choose Not To Use Archive Warnings, Major Character Death",Complete Work,English,"2,500",1,29,381,40,3881
魁地奇球场的时空错乱,LucyAragorn,24051568,07 May 2020,Teen And Up Audiences,"F/M, Other",Choose Not To Use Archive Warnings,Work in Progress,中文-普通话 國語,"8,977",5,0,3,0,166
They don't hear you singing to me,orphan_account,24051625,07 May 2020,Teen And Up Audiences,"Gen, M/M",Major Character Death,Work in Progress,English,"5,194",1,0,20,0,171
Tail End of a Dream,lorienn,24052357,09 May 2020,Teen And Up Audiences,M/M,Choose Not To Use Archive Warnings,Work in Progress,English,"1,619",1,8,33,4,308
The Journey Begins,Artemis_the_Moon_Goddess,24052435,03 Aug 2021,Teen And Up Audiences,No category,Choose Not To Use Archive Warnings,Work in Progress,English,"7,532",3,0,8,1,170
