ID,Tags,Summary,Date_published
24031375,Alternate Universe - No VoldemortEstablished RelationshipMarried CoupleTemporary AmnesiaFluffTooth-Rotting Fluff ,"Sirius temporarily loses some memories, and to fill in the missing time for his husband, James recreates a few of their dates. , For the prompt: “One where Sirius has a potion accidental and forgets James temporarily. So james recreates important and cute moments of their relationship. Thank you.” , This is from a prompt driven blog @imaginejamesandsirius on tumblr. Feel free to drop by! ",2020-05-05
24031387,Post-HogwartsHarry Potter Next GenerationCross-Generation RelationshipAge DifferencePotions Shop Owner Draco MalfoyPotions Master Draco MalfoyBoss/Employee RelationshipSemi-Public SexBlow JobsIntergluteal SexPOV Draco Malfoy ,"They both might be consenting adults, but Albus still needs to be the one who makes the first move. , Happy, happy birthday, shiftylinguini, most evasive of noodles! As you know, my writing muse has been most uncooperative of late and I didn't think I'd manage a fic for you, but in our recent conversation about abandoned WIPs and Snippets that we couldn't bare to part with, I mentioned this Dralbus outtake of mine that was ancient and probably terrible, and you told me most emphatically that there was no way it was awful! That was your first mistake. It's entirely your fault that I spent the past few days tinkering with it, adding an ending and beginning and trying to make it slightly less terrible (no promises!) so I figured it was only right that I gift it to you for your birthday! Anyway, you're welcome, and I hope your day and the coming year are wonderful. ;)About half of this fic started out as a deleted scene from one of the very first fics I ever wrote back in 2014, Now It’s Your Choice (seriously, it's the second fic I ever posted), which means this has been languishing for 5+ years. It's been heavily reworked, but you might notice some slight similarities to the original. Thanks to primaveracerezos for the beta! , [Kudos ♥] and [Comments] are fabulous! I'd love to hear what you think!Come find me on tumblr! ",2020-05-06
24031429,Hurt/ComfortLight AngstPiningUnrequited Lovewith hope at the endHurt Severus Snape ,"In the aftermath of the war, Hermione sits day in and day out next to a slowly recuperating and mute Severus Snape, and realises that it's not just sympathy keeping her there. , This is dedicated to my friend, disenchantedglow, who's the awesomest person on the internet. (Yes, I said it. Everyone else can come at me.) Happy Birthday, queen!!! I've never written Sevmione before, and it was just about the hardest thing to write. I hope I did the ship justice.Fantastically beta'd by dreamsofdramione and alpha'd by jame. , This was influenced by the poem Comes the Dawn, which was first discovered in an Ann Landers column and anonymous. It was later accredited to two people, and it's so lovely that I think the full thing needs to be reprinted. I thought it was perfect for their relationship and especially in the aftermath of the war. ",2020-05-06
24031507,Sirius Black and Remus Lupin Raise Harry PotterEstablished RelationshipFix-It ,Remus searches for Voldemort's horcruxes while Harry struggles with both adolescence and new magical threats. Sequel to Damage Control. ,2020-05-06
24031801,Alternate UniverseAlternate Universe - Voldemort WinsDark Luna Lovegood ,"He learned of her existence during her imprisonment, and in that time, the Dark Lord quickly learned two things about Luna Lovegood. , Written for The Dark Lords Poison and Wrackspurts & Nargles Graphic Exchange. The graphic I received from sweetmusings is below. I did add the title and my name, but that's it. The rest is all of her beautiful work.I want to thank FaeOrbal for her help in figuring out what route I wanted to go from the aesthetic. I also want to thank Meiri for beta reading it for me. If there are any errors, they are my own.Disclaimer: I do not own anything or anyone recognizable from the HP world. I am not making any money off of this. ",2020-05-06
24032083,None of these characters are minethey all belong to JK RowlingSelf HarmDepressionFanfictionNo beta we let god decide who lives and diedwhat is writingmild mild implied smutSomeone take my phone away from mefuck writing tbh ,"Harry Potter is going back to Hogwarts for his fifth year. But how will he cope with his worsening depression, especially with Voldemort back and out to get him. *Self Harm Warning* Eventual Drarry. , A/NI do not own any of these characters nor the Harry Potter universe. They all belong to JK Rowling. , Harry is depressed and sad at The Dursley’sTM ",2020-05-06
24032110,MpregUnhealthy RelationshipsAngsteventual kidficAngst with a Happy EndingNot Epilogue Compliant ,"After the war, Draco Malfoy lost everything. He's just trying to get it back. , Remember that cracky mpreg fic I wrote ages ago? I started this angst-fest at the same time, but it got very difficult to finish, so I am posting one part to get me to actually work on the rest. It will get worse before it gets better.
If you guys want this story (or any of my other stuff) tagged in any way that I missed, please let me know as I am horrible at tagging. ",2020-05-06
24032113,Marauders Era (Harry Potter)Alpha/Beta/Omega DynamicsAlpha/OmegaAlpha James PotterOmega Severus SnapeSmutKnottingBoypussyIntersexAlpha rutTop James PotterBottom Severus SnapePretty Severus SnapeVaginal SexOmega Verse ,"“Alpha,” Severus whimpers, and the growl of approval from James causes more wetness to leak from him.  Severus wants to submit, he needs to submit, he knows he does.  But if James has it his way, he’d already be balls deep inside of Severus’ with his teeth latched onto his neck.  Severus is his Omega, that’s how it’s supposed to be.  That doesn’t mean that Severus makes it easy for his Alpha or the rest of the pack.  He’s never been an easy Omega which is precisely how he’d managed to hold the Marauders' attention for all these years as they’d engaged in the traditional dance of courtship: stalking him, hounding him, poking and probing him as they forcibly pried each and every one of Severus’ tightly guarded secrets out from under him.  It had been exquisite. , Hello!  This is a one-shot that I created to help get my creative juices flowing while I continue Irrevocably.  Quarantine still has me at my wit's end and I figure smut is a good way of dealing with that :P  I've always been interested in trying my hand at an Omegaverse and after reading my fair share of those sort of stories I have a few different headcanons about Alpha/Beta/Omega dynamics that I've wanted to play with for a while now.  Irrevocably is the main series I am currently working on but I had a lot of fun writing this so I may come back to it later (especially for the background relationships between Severus and the other Marauders that was only mentioned here).  Enjoy! ",2020-05-06
24032152,,"It's been over 30 years since Harry Potter defeated Voldemort and it's time for the next generation to step up. But with a new generation comes a new evil greater and more powerful than before. With a new villain comes a new prophecy. Can Devin and James overcome the darkness and bring a new era to the wizarding world? With the help of ancient secrets, they just might be able to. ",2020-05-06
24032158,idk what im doing with my life ,"He felt a lot of things, but the most he felt was the overwhelming desire to lay down and cry. ",2020-05-06
24032188,1930sPre-war EnglandWandloreslowish burnthank god you can edit tags because I have no idea ,"Ostara Ollivander, only child of Garrick Ollivander, begins her adventures at Hogwarts. She must navigate through Wizarding high society as Gellert Grindelwald finds power both domestically and overseas. Which side will she choose to fight for, and how will her presence affect the wizarding world? , Hi there! I apologize for the horrendous summary. I decided to write this when I noticed that Cassiopeia Black never married and thought that that was certainly suspicious. I also find the idea behind wandlore fascinating, so I wanted to ~~investigate~~ that a bit more than is done in cannon. Also if Garrick didn't have a child then a 2200+ year near monopoly is going to just dissolve? We can't have that. , Phew. That was a lot of set up. Things will pick up a bit when Ostara heads off to Hogwarts :)Quick note on Knockturn alley- I'm going ahead and assuming that the wealth gap wasn't as dramatic as it was in the 1990s, and Knockturn alley serves as the lower-middle class shopping center. The anti-muggleborn rhetoric, while still present in the 1930s, isn't going to be as venomous as is seen in cannon. Because of this, things like traditional wizarding culture will be more of a point of contention than blood status. Hopefully we'll see over time how the climate changes to bring blood purity as a status symbol. Radicalization doesn't happen overnight- this time period marks the start of the ideals Voldemort & co tout coming to prominence.  This is my first fic so any criticism is more than welcome! Let me know if anything doesn't make sense and I'll try to address it in the coming chapters. Thanks for reading! ",2020-05-06
24032233,,Luna Lovegood uses the Time Turner to set some things right in the past. She falls in love with someone she never saw coming. ,2020-05-06
24032506,MpregKnottingMating BondMating BitesClaiming BitesFace-FuckingOral KnottingCome SwallowingWerewolf Stiles StilinskiWatersportsDouble PenetrationAll werewolves have wolf cocks ,"On his 16th birthday Harry finds out he is not the last Potter. So he goes in search of his family learning along the way how to love and protect his family and be loved and protected in turn as Beacon Hills becomes the epicenter of increasingly dangerous supernatural and magical beings. But when both Voldemort and Dumbledore track him down, how will Harry and his family survive? ",2020-05-06
24032521,FerretsPet StoreCute KidsDraco Malfoy & Harry Potter FriendshipSurprise Pairing ,"Cute and fluffy one shot. Scorpius wants a pet ferret. Draco is cringing. Harry helps out. Later, Draco and Harry learn a lot about each other. ",2020-05-06
24032563,Harry Potter Epilogue What Epilogue | EWENot Epilogue CompliantDrabbleDrabble CollectionDancingflash mobflash dancingDancing Draco MalfoyAuror Draco MalfoyAuror Harry PotterAuror Ronald WeasleyFluffCrack ,"“What is it about the Malfoy family line that just screams ‘let’s join a cult?” Asked Ron, who stood next to Harry in the middle of London Main Street, staring at the flash of blond hair. Harry ran a hand through his hair, looking at his friend with a pinch of horror and amusement. “Ron, that’s a flash mob, Malfoy is in a flash mob.”(W: Language) , Here's another :) ",2020-05-06
24032998,SchmoopFemale Draco Malfoy/Female Harry PotterThere's A Tag For That&gt;:DTitle from a Carly Rae Jepsen SongKissingMinor Luna Lovegood/Ginny Weasley ,"The first time they kiss Harry doesn't know where to put her hands. , Disappears from my WIP for over a year and then reappears w some silly femslash drarry I wrote in the middle of the night years ago bc I must spread the gospel.Also, to alleviate the embarrassment of that last bit, Draco is obviously wearing the weirdly delicious sparkly lipgloss I had as a teen. Harry never puts this together. She simply does not realize lipgloss can have flavor. ",2020-05-06
24033031,,"Lily Potter made a small mistake at the beginning of her marriage; having a child with Sirius Black. On the night of her murder, her son Harry was swept away by Rubeus Hagrid. However, her other son, Alexander, was gathered up by Lucius Malfoy and hidden away until the Dark Lord began his return. He was raised around and trained into the dark arts and fought with the Dark Lord, but ended up in Azkaban after the Battle at the Ministry of Magic after watching his father die. But, he has escaped... , Hello, this is my first fan fiction in a very long time. I've been sitting with this idea for about 3 years now and finally decided to put her out there. Let me know how you feel and I'll slowly add more. ",2020-05-06
24033133,SmutHogwarts ProfessorsAlternate Universe - Canon DivergenceAlternate Universe - Time TravelWork sexDesk SexExhibitionismVoyeurismPublic Masturbation ,"Hermione confronts her fellow Hogwarts Professor about his teaching methods. , Thank you to Quitethesardonic for the prompt, Syrengrey for the encouragement and Riverwriter for the beta - any additional mistakes are my own. ",2020-05-06
24033268,Slow BurnTime TravelMajor IllnessScarsPost-Traumatic Stress Disorder - PTSDNon-Canon RelationshipChildhood TraumaSapiosexual ,"Hermione believed her life was at a decent pace. She was successful, loved her family, and expelled her energy on changing the world. An alarming evening brings back the bitter cold of the war, the pains of fighting, her lack of connection, and more intriguing… a former professor? What happens when she's forced into a situation less appealing for her nature? What revelations take place in such a new setting? , I don't usually do this, but I wanted to start a story for a loved one who has recently passed. He had been fighting cancer and unfortunately lost that battle. One of his favorite characters was, in fact, the one I'm going to attempt in this fic. Thank you for reading ahead of time. ",2020-05-06
24033724,Mutual PiningCheatingAngstAnal SexPost-WarPost-HogwartsCanon Divergence - Post-Hogwarts ,"Harry Potter was getting married tomorrow. He was thrilled. , The title comes from The Blower's Daughter by Damien Rice. Seemed appropriate. ",2020-05-06
24033763,Slow BurnOTP FeelsFirst Kiss ,"Newt and Tina go to their first event together, and share their first kiss. :)  Newt paced back and forth in the front parlor wringing his hands. Earlier today on their outing together, Newt had blurted out an invitation to Tina to be his date to ministry gala that night. Tina replied with a wide-eyed “yes,” and both of them had looked equally horrified at what they’d just said.  The stairs behind him creaked, snapping him out of his trance. He turned around, and his jaw dropped open. , One scene in this is inspired by something from one of the Land of Stories books I read a very long time ago. Also, Tina's party dress is inspired by a fanart I saw but cannot longer find!Disclaimer: Anti-Semitism is in NO way acceptable. I'm just including it to illustrate the bigotry of a character. There is some strong language so BE WARNED.Also, all rights belong to JKR and WB! , Hope you enjoyed reading! Comments and kudos are appreciated :)) ",2020-05-06
24033805,Slytherin Sirius BlackHogwarts Inter-House FriendshipsPureblood Politics (Harry Potter)no beta we die like menExcept when the commenters helpAlternate UniverseMarauders Era (Harry Potter) ,"The choice was one part family loyalty, one part self preservation.Sirius Black is expected to be a Slytherin, though his family knows he's not typical Syltherin material. The choice is his, but then there's his brother, who never asks anything of him. The war is brewing, the family loyalties are in question, and the pureblood politics are in full swing. It'd be easy to not care, to go his own way.He'd never been one for going the easy way. , In one world, Sirius never speaks to his brother before he leaves. He’s already annoyed at him, at his whole family really.Here, Sirius does. He listens to his little brother. Hears his anxieties, and understands his worries. ",2020-05-06
24033898,RomanceSlow BurnEnemies to Friends to LoversEnemies to LoversRedemptionHogwartsRedeemed Draco Malfoy ,"""We find ourselves in unexplainable, unpredictable circumstances. As much as we’d like to control it, some things simply cannot be. Even for the most controlling and logical of souls, this painful fact is inevitable. Some choices you look upon and ask why. Why must we behave this way? Why must we cause the people we hold dearly so much pain? Most answers can be found within selfish desire. ‘Why’ we ask, because we want to. But what force can override even the strongest of will power to selfish desire? What entity pushes every brute force of strength you would have never thought to be quested? What omnipotent power has been the beginning of wars, the downfall of civilizations, and the first thing we learn from birth? Love.""After the second wizarding war, Hogwarts re-opens, and it's mandatory that every student attends to make up the previous year. As Ron, Hermione, and Harry spend their summer growing closer than ever; they soon find out that more than just old friends will be meeting them this year. Will the ministries leniency on Draco Malfoy prove to be a mistake, or will he have changed for the better? , hi! thanks so much for click on my story and supporting my work! please feel free to leave feedback and enjoy! ",2020-05-06
24034666,Protective Minerva McGonagallAlbus Dumbledore Being an AssholeHarry Potter AngstRemus Lupin Needs a HugRemus is angryAngst and FeelsHarry is a Little ShitALL THE ANGSTCanonical Character DeathSad ,"Sirius is dead and all Harry knows how to feel is anger. All Remus knows is self-pity. Minerva McGonagall only knows grief. , This was so much fun to write. My husband had me pick this prompt and I hope I did it justice.
Original Prompt: Sirius / Remus and/or Sirius & Harry- I'll say just one thing: the battle at the department of mysteries 👀 bonus points if there's a lot of angst related to the fact the Dursleys are abusive and Sirius was Harry's only hope of getting out of there and JSNDNSNCN ",2020-05-06
24034711,LettersNot Epilogue CompliantPOV AlternatingBookstore owner! Harryhe's trying his bestletter writingSecret Identity ,"Harry has finally found peace after the war, but is struggling to meet people he doesn't already know and trust. Hermione pushes him to try his hand at letter writing. Connection may come from where you least expect it. ",2020-05-06
24034756,Time TravelTime Travel Fix-ItCharacter BashingAlbus Dumbledore BashingManipulative Albus DumbledoreGod I really hate DumbledorePast Child AbuseBullyingHurt/ComfortLove Potion/SpellGinny Weasley BashingRon Weasley BashingMaster of Death (Harry Potter)Parselmouth Harry Potterharry talks to snakesGood Severus SnapeHarry becomes his own dadkind ofTop Harry PotterBottom Severus SnapeSirius Black is a JerkDeath is awesomeand so done with everyones shitAbusive Dursley Family (Harry Potter)Rating May ChangeRape/Non-con ElementsI mean the Love potionno other non-conSmart Harry PotterGoblinsOther Additional Tags to Be Addedno beta we die like women ,"Harry gets a second Chance, traveling back in time after a very interesting conversation with Death, Hell bent on getting revenge against all those who wronged him . He kidnapps the younger Harry from the Dursleys and raises him himself. Even if he has no idea how to raise a child Harry is still determined that he can do better than the Dursleys.  Rating may change later also I suck at summeries. , Hi, this is my first story in this Fandom and i hope you guys like it. English is not my first language so please tell me if I make any major mistakes. I'll be putting a warning at the beginning of every chapter if there are any possible triggers. ",2020-05-06
24034864,primarily platonic with mentions of potential romantic relationshipsthis is one in what may be a series of marauders ficMaraudersMarauders Era (Harry Potter)pre-marauders map ,"The Marauders are ready for another night of trouble and teenage boy antics when James gets stuck in his stag form. , This takes place when the boys are in their fifth year and is one of a few occasions that lead up to the creation of the Marauders Map. ",2020-05-06
24035563,Started out as crackidk what happened lolLight(?) AngstSchool RomancePiningRivalsHeir Harry PotterOrphan Tom RiddleTom Riddle finds a better way to deal with being an orphan aka being the best at everythingSmart Harry PotterAnother one of my trope-y wish fulfillment fics LOL ,"“Tom can play what?”“He can play the violin, the piano, the drums, and the guitar.” Hermione explains as a-matter-of-factly. “Didn’t you know? Music was his secondary scholarship in his muggle school.”Harry makes a mental note to tell his mother that he wants to learn some wizard musical instruments. , Meh.Some lines are inspired by ""I Speak Six Languages"". It's one of my broadway songs and inspired this fic. ",2020-05-06
24035659,,,2020-05-06
24036172,mostly jily with a touch of wolfstar cuz why not rightMuggle AUsorry quarantine has me in this moodchildhood best friends auOneshotlongishjilyjily au ,"Sixteen summers shared between childhood best friends and how it all ends. , Soooo sorry this is just the idea that wouldn't leave my head. I have been incredibly unproductive in this quarantine and this is the only half-decent thing I've been able to turn out. Let me know what you think? Sending love and safety!- desperateforsanity5/8/2020 -- Edited because I can't stop whoops. ",2020-05-06
24036400,,"Credence深刻地感受到了自己的弱小，他不能保护任何人，不能保护Nagini，不能保护他的母亲，不能保护他孤儿院的妹妹，不能保护任何他关心的人。 , 这是一篇两年前的旧文，原发于lofter，lofter ID - 长格子围巾【注意cp】【Nagini/Credence】偏亲情向，小蛇女/迷途少年（爆炸黑烟少年，25仔，etc…orz）和一点点Nagini&Voldemort。（我真的不知道这个cp该怎么简写？？）私设有（其实大部分都是），电影剧情也有（剧透提及），但最后剧情不完全符合。 ",2020-05-06
24036667,Rating May ChangeWarnings May ChangeSibling BondingSibling LoveHarry Potter Has a Twinwho is not a dickheadPOV Original CharacterImplied/Referenced Child AbuseCanonical Child AbuseMisguided Albus DumbledoreAlbus Dumbledore Being an Idiothe triesNo character bashingangry childrenAnarchyAnarchismReferences to Off Screen Eating DisorderSwearing ,"Jack Potter is born 12 minutes after his twin brother Harry. This is not a large gap, but when fate and prophecies are involved, it might as well be an ocean. He enters the world, not as the seventh month dies, but as the eighth month is born. Officially the Unchosen One; in fate and later in life.Jack is pushed through the British foster care system, with no knowledge of magic, and no knowledge of his twin. It isn’t the worst childhood, but it certainly isn’t the best. We meet him as he meets Professor McGonagall, and everything spirals from there.Includes Draco Malfoy being shouted at, Hermione Granger saving the day (numerous times), and Harry Potter getting a shot at family. , I am so EXITED! It tink this is going to be really fun to write.I update as I write, and only edit roughly, so feel free to point out mistakes and be ready for periodic editing frenzies.English is not my first language, please let me know if something is unclear, makes no sense, or is just not culturally sound. , Thank you for reading, please feed me kudos if you liked it <3More to come! ",2020-05-06
24036961,SadAngsti was just feeling lonelyDepressionSuicidedon't read if you don't like angstkinda shortI Can't Believe I Wrote ThisThis Is STUPIDSo fucking cringey lmao ,Just needed to express this. Enjoy! ,2020-05-06
24037330,GryffindorRavenclawprefect - Freeformhead boy billHogwartsHogwarts Seventh YearHogwarts ExpressSecret Relationshipsecret romanceMutual Pining ,"The other prefects grumbled, before leaving the carriage, leaving it with just me, Bill and Lucy, “congratulations,” I murmured hugging him tightly, he laughed wrapping an arm around me, and pulling me into his chest, “you got head boy like you wanted,” I didn’t need to look up to know he was smiling, but he kept his arm around me. “congratulations on getting prefect,” I smiled retracting myself from his arms, noticing the glare the head girl shot me, ignoring her, I turned back to Bill smiling, “I'm really pleased for you,” he smiled, as Lucy gave a dramatized cough, “don’t you have rounds to be going on?” I bit my tongue, smiling sickeningly in her direction, “have fun,” I muttered to Bill, giving his arm a final squeeze before turning to walk out of the carriage. , Heyyyy! I'm back with a Bill Weasley piece, I actually like how this turned out, and am really pleased with it. I know I keep hinting at a bigger series piece which is coming - it is, but I want to check over it several more times before I post it, so please be patient while waiting for it (it'll be worth the wait - hopefully), I'm really looking forward to being able to post it. As always, I hope you are all staying safe and well :) general question - would you want to be able to follow me on social media? I have a Twitter account if anyone is interested, but I'm still getting the hang of it. Byeeeeeeeeeeeee :) see you on the next work :) ",2020-05-06
24037813,Hurt Ron WeasleyAngst ,"The prefect badge, and Ronald weasley , I always thought the way everyone reacted to ron being prefect was kind of unfair, he deserved it. ",2020-05-06
24037918,Dimension Travelwell really its less travel and more kidnappingbut thats semanticsAlbus Dumbledore Bashinglisten that should be a given for any of my fics by nowi dont like that manAlternate Universe - Canon DivergenceHarry Potter Epilogue What Epilogue | EWENot Epilogue Compliantwe all know that epilogue was the most ridiculous thing in the entire seriesHumorAttempt at HumorFluff and Angstits a bit cracky nglno beta we die like menTime TraveltechnicallySassy Harry PotterBAMF Harry Potter ,"Harry, all things considered, should have expected this. if only for the fact that every achievement and/or good thing to ever happen to him was continuously overshadowed by a very very bad thing. So really, being kidnapped across dimensions was just par for the course in the life of the infamous boy-who-lived.
-0- 
“Looks like a portal.” Neville pointed out.“To where?” “No clue, travel ones are usually purple, though.”“Wait if the purple ones are travel, what’s blue?” Harry was crouching, the portal barely a foot above his head.Hermione grabbed his shirt, “I haven’t the foggiest, but I’m coming too.”Ron gripped his wrist, “me too.”“What? Guys no –““You’re not going anywhere without me, darling.” Draco put a hand around his waist.“This could be dangerous, guys!”“Oh shut up, Harry.” Neville shook his head as he grabbed Harry’s other arm, “Like we’d let you go anywhere without us.”“You’re all insufferable.” ",2020-05-06
24037921,romantiikkaaYleislätinääRomanceSlice of LifeSuomi | Finnish ,"Remus oli unohtanut altaan kokonaan ja hymyili itsekseen raahatessaan Siriusta pitkin kiiltäviä, mustia kaakeleita. , Kirjoitettu 2009 sarkastiseksi ja varsin myöhästyneeksi synttärificiksi Lizlegolle. Sijoittuu Feeniksin killan jälkeiseen aikaan.
 
Huom! En omista Pottereita, J.K. Rowling omistaa. En saa tästä rahaa, elekää haastako oikeuteen! ",2009-02-10
24037924,,"忒修斯教会了纽特抽烟。 , 去年三月写的一篇骨科，在这里也囤一下~ ",2020-05-06
24037942,DrabbleSexual TensionUnresolved Sexual TensionIdiots in Love(in my head at least)POV First PersonNot Beta Read ,"An innocent scene in front of the entrance to the Headmistress' office, or is it? , I apologize for all the mistakes. The fic is not beta-read. ",2020-05-06
24038155,RomanceEventual RomanceTeen RomanceFluff and HumorRomantic FluffTwo ShotBets & WagersFriends to LoversChildhood FriendsRomantic ComedyRomantic Friendship ,"When Hermione catches Fred breaking the rules again, she offers to let him off the hook on one condition: he helps her win a bet against Ron and beat Harry in a spell-fight. Intrigued, Fred agrees and the unlikely pair spend the next week meeting up to practice spells after dark. It turns out, Fred isn't nearly as insufferable as Hermione once thought. While Fred, on the other hand, fears he might be catching feelings for a certain goody-two-shoes Prefect. Oh, bugger. What's a Weasley to do? ",2020-05-06
24038161,Alternate Universe - Fairy TalePOV First Person ,"我们在操场和教室里醉生梦死，陷入了流感似的集体性癔症，在这场名为哈利·波特的春天里，所有人都无一幸免地沉沦不清了。 , *设定参考舒比格《一千个恶作剧》。这是一个比较宽松的人间，可以让不够邪恶的小魔鬼上来实习一下。时间操作。金妮视角。*很久以前写的一篇伏哈，在这里也囤一下~ ",2020-05-06
24038182,My First Work in This FandomMy First AO3 PostMy First FanficFluffChristmas FluffYule Ball (Harry Potter)Hermione Granger & Harry Potter FriendshipAwkward RomanceTeen RomanceSlow RomanceDrama & RomanceRomanceEventual RomanceOne True Pairing ,"Harry asks Sirius for some advice on how to ask a girl to the Yule Ball. His suggestion gives him a whole new perspective on his best friend, Hermione. This is my very first fanfic ever. I wrote a simple Harmony story that works well as a One-Shot but I would like to add a second chapter to it; especially if the reviews are kind. I don't own Harry Potter, but I sure wish I did! ",2020-05-06
